,Load,Long,Trans,Vert
SUP DL,10870.250000000002,1956.6450000000002,5869.935,1304.43
SUP LL,1422.672,0.0,153.648576,34.144128
PierCap,1181.25,212.625,637.8749999999999,141.75
PierStem,2462.4469623439745,443.2404532219154,1329.7213596657461,295.49363548127695
FdnPad,8265.625,1487.8125,4463.437499999999,991.875
