,Left,Right,Sum
Dead Load,4584.374999999999,4584.374999999999,9168.749999999998
Other Load,325.0,325.0,650.0
Surface Load,396.00000000000006,396.00000000000006,792.0000000000001
Pedestrian load,150.0,150.0,300.0
